data;hora;idade;sexo;sit_vitima;log1;tipo_acid;auto;taxi;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;lotacao;dia_sem;periododia;fx_et;tipo_veic
04/01/2017 00:00;07:59:00.0000000;40;MASCULINO;CONDUTOR;R ALVARO GUTERRES;ABALROAMENTO;1;0;0;0;1;0;0;0;0;0;0;QUARTA-FEIRA;MANHA;36 A 45;AUTOMOVEL
04/01/2017 00:00;09:20:00.0000000;65;FEMININO;PEDESTRE;R PADRE HILDEBRANDO;ATROPELAMENTO;1;0;0;0;0;0;0;0;0;0;0;QUARTA-FEIRA;MANHA;60 +;NENHUM
04/01/2017 00:00;13:30:00.0000000;25;MASCULINO;OCUPANTE;R RIO GRANDE;QUEDA;0;0;0;0;0;0;1;0;0;0;0;QUARTA-FEIRA;TARDE;18 A 25;MOTOCICLETA
05/01/2017 00:00;07:30:00.0000000;28;MASCULINO;CONDUTOR;AV BALTAZAR DE OLIVEIRA GARCIA;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;QUINTA-FEIRA;MANHA;26 A 35;MOTOCICLETA
05/01/2017 00:00;18:20:00.0000000;27;FEMININO;OCUPANTE;AV BENTO GONCALVES;ABALROAMENTO;1;0;0;0;0;0;1;0;0;0;0;QUINTA-FEIRA;NOITE;26 A 35;MOTOCICLETA
05/01/2017 00:00;12:20:00.0000000;40;MASCULINO;PEDESTRE;AV BENTO GONCALVES;ATROPELAMENTO;0;0;1;0;0;0;0;0;0;0;0;QUINTA-FEIRA;TARDE;36 A 45;NENHUM
05/01/2017 00:00;07:00:00.0000000;31;MASCULINO;PEDESTRE;AV BENTO GONCALVES;ATROPELAMENTO;0;0;0;0;0;0;1;0;0;0;0;QUINTA-FEIRA;MANHA;26 A 35;NENHUM
05/01/2017 00:00;06:59:00.0000000;42;MASCULINO;OCUPANTE;AV FARRAPOS;COLISAO;2;0;0;0;1;0;0;0;0;0;0;QUINTA-FEIRA;MANHA;36 A 45;AUTOMOVEL
05/01/2017 00:00;06:59:00.0000000;38;MASCULINO;CONDUTOR;AV FARRAPOS;COLISAO;2;0;0;0;1;0;0;0;0;0;0;QUINTA-FEIRA;MANHA;36 A 45;AUTOMOVEL
05/01/2017 00:00;17:00:00.0000000;0;MASCULINO;OCUPANTE;AV PROTASIO ALVES;COLISAO;3;0;0;0;0;0;0;0;0;0;0;QUINTA-FEIRA;TARDE;0 A 10;AUTOMOVEL
05/01/2017 00:00;17:00:00.0000000;2;MASCULINO;OCUPANTE;AV PROTASIO ALVES;COLISAO;3;0;0;0;0;0;0;0;0;0;0;QUINTA-FEIRA;TARDE;0 A 10;AUTOMOVEL
05/01/2017 00:00;07:30:00.0000000;22;FEMININO;PEDESTRE;AV PROTASIO ALVES;ATROPELAMENTO;0;0;0;0;0;0;1;0;0;0;0;QUINTA-FEIRA;MANHA;18 A 25;NENHUM
